label,dataset_id,variant_id,latency_p50_ms,latency_p95_ms,rtf_mean,rtf_p95,wer
"librispeech [bandwidth=8k, split=dev-clean, subset=tel8k]",1,5,336.31650009192526,906.4122400013719,0.08012971726273399,0.19284863428681887,0.05318283506202969
"librispeech [snr_db=0, split=dev-clean, subset=snr0]",1,2,507.7992500155233,815.0608999712858,0.09752904085361654,0.22646918882027509,0.06173215554878668
"librispeech [snr_db=10, split=dev-clean, subset=snr10]",1,3,557.9541500192136,860.8893250057008,0.10032174285992063,0.21254002584196668,0.05178190679256777
"librispeech [snr_db=20, split=dev-clean, subset=snr20]",1,4,512.2388499439694,978.6518750188407,0.10825706616288702,0.2448777060820294,0.049954310082241854
"librispeech [snr_db=None, split=dev-clean, subset=clean]",1,1,485.4061500518583,844.6438500541262,0.09118365503831258,0.20068060409931254,0.04883744542593157
