dataset_id,variant_id,metric,ci_low,ci_high,method
1,5,wer,0.04602836892879896,0.06043792414637791,bootstrap_percentile
1,5,latency_p50_ms,316.6298000141978,352.5799125316553,bootstrap_percentile
1,5,latency_p95_ms,787.3895999509832,1010.1094400510177,bootstrap_percentile
1,5,rtf_mean,0.07267634328239161,0.08915621673620781,bootstrap_percentile
1,5,rtf_p95,0.1699351186350606,0.21954825178379223,bootstrap_percentile
1,5,wer_sentence_proxy,0.42376237623762375,0.5168811881188119,bootstrap_percentile
1,2,wer,0.054091423632139264,0.06939759834400898,bootstrap_percentile
1,2,latency_p50_ms,491.037999978289,525.5125349649461,bootstrap_percentile
1,2,latency_p95_ms,779.6467250445858,885.1001000730321,bootstrap_percentile
1,2,rtf_mean,0.09182176216637536,0.10344337421700893,bootstrap_percentile
1,2,rtf_p95,0.19513868830905032,0.24823806782717092,bootstrap_percentile
1,2,wer_sentence_proxy,0.4644268774703557,0.5533596837944664,bootstrap_percentile
1,3,wer,0.04460918685531964,0.058645453437590436,bootstrap_percentile
1,3,latency_p50_ms,541.7578274355037,583.0397000536323,bootstrap_percentile
1,3,latency_p95_ms,826.983093751187,881.6130999475718,bootstrap_percentile
1,3,rtf_mean,0.09543432293491856,0.10562911036007099,bootstrap_percentile
1,3,rtf_p95,0.1954862260851434,0.23662143951684098,bootstrap_percentile
1,3,wer_sentence_proxy,0.39723320158102765,0.4841897233201581,bootstrap_percentile
1,4,wer,0.04304930893610162,0.05650067926296065,bootstrap_percentile
1,4,latency_p50_ms,492.6370999892242,537.5384299681173,bootstrap_percentile
1,4,latency_p95_ms,887.8987999632955,1077.8850962335125,bootstrap_percentile
1,4,rtf_mean,0.09906497415667564,0.11882410920729565,bootstrap_percentile
1,4,rtf_p95,0.2255932836095595,0.2910699314429094,bootstrap_percentile
1,4,wer_sentence_proxy,0.3893280632411067,0.4743083003952569,bootstrap_percentile
1,1,wer,0.04222722862380059,0.055418276825958415,bootstrap_percentile
1,1,latency_p50_ms,450.7819999707863,519.3607925219112,bootstrap_percentile
1,1,latency_p95_ms,799.2342149977048,888.2186249829829,bootstrap_percentile
1,1,rtf_mean,0.08605555234637902,0.09682359406592492,bootstrap_percentile
1,1,rtf_p95,0.1802293686651437,0.22039199822043382,bootstrap_percentile
1,1,wer_sentence_proxy,0.3794466403162055,0.4644762845849802,bootstrap_percentile
