label,dataset_id,variant_id,latency_p50_ms,latency_p95_ms,rtf_mean,rtf_p95,wer
"librispeech [bandwidth=8k, split=dev-clean, subset=tel8k]",1,5,975.6939000217244,1790.2476600138466,0.1953425934585615,0.4062576562439303,0.05953592509668227
"librispeech [snr_db=0, split=dev-clean, subset=snr0]",1,2,1102.2664500051178,2195.4622499179095,0.23419168097086696,0.4395116903419976,0.06416895116255457
"librispeech [snr_db=10, split=dev-clean, subset=snr10]",1,3,1120.6533999647945,2104.9628499604296,0.22700558088381675,0.5000532509390768,0.05919382678444512
"librispeech [snr_db=20, split=dev-clean, subset=snr20]",1,4,1092.2197500476614,2144.3818499392364,0.2220088589236557,0.5120143558405881,0.057569296375266525
"librispeech [snr_db=None, split=dev-clean, subset=clean]",1,1,1092.3788999207318,2325.979049957823,0.22557501576058084,0.49772393851064134,0.057264696923545536
