dataset_id,variant_id,metric,ci_low,ci_high,method
1,5,wer,0.05046704482553287,0.06652139089369752,bootstrap_percentile
1,5,latency_p50_ms,953.2582424406429,1047.3327999934554,bootstrap_percentile
1,5,latency_p95_ms,1843.6118199490008,2322.3829199792776,bootstrap_percentile
1,5,rtf_mean,0.1938231473845385,0.2440288220716417,bootstrap_percentile
1,5,rtf_p95,0.37672765165940314,0.4590079048728841,bootstrap_percentile
1,5,wer_sentence_proxy,0.40594059405940597,0.499009900990099,bootstrap_percentile
1,2,wer,0.05587446024795766,0.07202838751586298,bootstrap_percentile
1,2,latency_p50_ms,1088.6865999782458,1187.5848500058055,bootstrap_percentile
1,2,latency_p95_ms,2129.9949837419263,2377.616300014779,bootstrap_percentile
1,2,rtf_mean,0.21505384343876444,0.23758087400452446,bootstrap_percentile
1,2,rtf_p95,0.43571930750445775,0.5102126725338855,bootstrap_percentile
1,2,wer_sentence_proxy,0.4683794466403162,0.5553359683794467,bootstrap_percentile
1,3,wer,0.05161378510361397,0.06651359434710635,bootstrap_percentile
1,3,latency_p50_ms,1107.3924999218434,1205.2372000180185,bootstrap_percentile
1,3,latency_p95_ms,2125.8240749884862,2437.57237502723,bootstrap_percentile
1,3,rtf_mean,0.21900773827513462,0.24482559019125433,bootstrap_percentile
1,3,rtf_p95,0.4407004293226567,0.5812193580362716,bootstrap_percentile
1,3,wer_sentence_proxy,0.428804347826087,0.5138339920948617,bootstrap_percentile
1,4,wer,0.04989126932989691,0.0646804361855075,bootstrap_percentile
1,4,latency_p50_ms,1078.1233787405654,1201.7498837565654,bootstrap_percentile
1,4,latency_p95_ms,2126.552124309819,2385.4586000088602,bootstrap_percentile
1,4,rtf_mean,0.22046349969886783,0.250711673401846,bootstrap_percentile
1,4,rtf_p95,0.4589151445038703,0.6089461904706522,bootstrap_percentile
1,4,wer_sentence_proxy,0.4090909090909091,0.49407114624505927,bootstrap_percentile
1,1,wer,0.04959952432553967,0.06443317793468264,bootstrap_percentile
1,1,latency_p50_ms,1099.2700000060722,1214.1137725280714,bootstrap_percentile
1,1,latency_p95_ms,2082.368612456048,2357.8090999508277,bootstrap_percentile
1,1,rtf_mean,0.22211781748679388,0.2488156899774224,bootstrap_percentile
1,1,rtf_p95,0.4895326963713314,0.5819058257409351,bootstrap_percentile
1,1,wer_sentence_proxy,0.39920948616600793,0.48423913043478256,bootstrap_percentile
