label,dataset_id,variant_id,latency_p50_ms,latency_p95_ms,rtf_mean,rtf_p95,wer
"librispeech [bandwidth=8k, split=dev-clean, subset=tel8k]",1,5,989.3879999872297,2039.6220999537022,0.2144482232215739,0.42097006869970316,0.05826723611958511
"librispeech [snr_db=0, split=dev-clean, subset=snr0]",1,2,1133.7754499982111,2285.8553000260144,0.22668992267299123,0.4683640529794721,0.06416895116255457
"librispeech [snr_db=10, split=dev-clean, subset=snr10]",1,3,1164.4991499488242,2246.281300060218,0.23176860435807178,0.4989788006380791,0.059295359935018783
"librispeech [snr_db=20, split=dev-clean, subset=snr20]",1,4,1122.798049938865,2247.944574977737,0.23477797385698151,0.5302355219181782,0.05746776322469286
"librispeech [snr_db=None, split=dev-clean, subset=clean]",1,1,1159.6436500549316,2194.1041999671143,0.23529533986358084,0.531934333787051,0.05716316377297188
