label,dataset_id,variant_id,latency_p50_ms,latency_p95_ms,rtf_mean,rtf_p95,wer
"librispeech [bandwidth=8k, split=dev-clean, subset=tel8k]",1,5,1079.4581500813365,1963.9151999726892,0.2116345786820635,0.482082132572489,0.05838156157985582
"librispeech [snr_db=0, split=dev-clean, subset=snr0]",1,2,1132.8062000102364,2409.390724991681,0.23653916815876824,0.5480762014537995,0.06427048431312823
"librispeech [snr_db=10, split=dev-clean, subset=snr10]",1,3,1126.456700032577,2138.7214999704156,0.22939152981718866,0.5036499926300491,0.059295359935018783
"librispeech [snr_db=20, split=dev-clean, subset=snr20]",1,4,1084.0181999956258,2036.2051499832887,0.22116321908066386,0.529483542703415,0.05746776322469286
"librispeech [snr_db=None, split=dev-clean, subset=clean]",1,1,1195.9786000079475,2362.868124997476,0.24879954462070117,0.5688447668277465,0.057264696923545536
