label,dataset_id,variant_id,latency_p50_ms,latency_p95_ms,rtf_mean,rtf_p95,wer
"librispeech [bandwidth=8k, split=dev-clean, subset=tel8k]",1,5,1049.1670499905013,2008.549399964977,0.21404131041953126,0.4724503968334279,0.05959995938673977
"librispeech [snr_db=0, split=dev-clean, subset=snr0]",1,2,1259.7091499483213,2487.221849936759,0.2615651893808995,0.593879125133453,0.06416895116255457
"librispeech [snr_db=10, split=dev-clean, subset=snr10]",1,3,1178.4461999777704,2362.111649941653,0.23912338181789425,0.4865354767945221,0.05919382678444512
"librispeech [snr_db=20, split=dev-clean, subset=snr20]",1,4,1171.1993499775417,2292.4200749839656,0.23557172658028497,0.5131077180333548,0.057569296375266525
"librispeech [snr_db=None, split=dev-clean, subset=clean]",1,1,1284.5455000642687,2534.711049927864,0.260282063462905,0.5373965856229441,0.05716316377297188
